ID,종목,per,eps,주당배당금,배당성향,시가총액,상장주식수,투자의견,종가,목표가
0,삼성전자,6.86,0,361,0.00%,"3,880,359","5,969,782,550",매수,"65,000원","79,148원"
1,LG에너지솔루션,131.73,"3,306",0,0.00%,"1,310,400","234,000,000",매수,"560,000원","645,653원"
2,SK하이닉스,23.13,"3,242","1,133",29.57%,"669,034","728,002,365",매수,"91,900원","119,563원"
3,삼성바이오로직스,71.75,"11,442",0,0.00%,"560,139","71,174,000",매수,"787,000원","1,127,500원"
4,LG화학,25.35,"23,670",0,26.04%,"500,500","70,592,343",강력매수,"709,000원","847,432원"
5,현대차,5.29,"28,521","5,680",42.48%,"432,582","211,531,506",매수,"204,500원","258,889원"
6,NAVER,35.45,"5,007",0,0.00%,"349,425","164,049,085",매수,"213,000원","304,029원"
7,셀트리온,41.22,"3,894",406,11.18%,"251,500","146,390,862",매수,"171,800원","241,875원"
8,삼성물산,0,"12,460","1,996",25.75%,"203,594","185,591,670",매수,"109,700원","171,136원"
9,하이브,137.15,"1,265",0,0.00%,"121,603","41,644,727",매수,"292,000원","259,646원"
10,대한항공,4.79,"4,787",750,15.57%,"82,850","368,220,661",강력매수,"22,500원","35,620원"
11,카카오페이,133.17,407,0,0.00%,"74,518","134,025,520",매수,"56,000원","121,500원"
12,한국전력,0,"-38,112",0,0.00%,"118,186","641,964,077",매수,"18,410원","26,533원"
13,엔씨소프트,20.88,"21,456","6,179",29.60%,"80,461","21,954,022",매수,"371,000원","547,805원"
14,CJ제일제당,10.23,"37,188","2,441",15.09%,"48,249","15,054,186",매수,"320,500원","544,545원"
15,한미약품,44.83,"6,648",496,12.13%,"38,440","12,562,158",강력매수,"306,000원","358,095원"
16,POSCO홀딩스,6.67,"41,456","1,794",0.00%,"312,914","84,571,230",매수,"370,000원","385,343원"
17,S-oil,4.61,"18,075","3,000",16.61%,"82,411","112,582,792",강력매수,"73,200원","128,792원"
